ISO 639-2;English name
aar;Afar
abk;Abkhazian
ace;Achinese
ach;Acoli
ada;Adangme
ady;Adyghe
afa;Afro-Asiatic
afh;Afrihili
afr;Afrikaans
ain;Ainu
aka;Akan
akk;Akkadian
alb;Albanian
ale;Aleut
alg;Algonquian
alt;Southern Altai
amh;Amharic
ang;English, Old
anp;Angika
apa;Apache
ara;Arabic
arc;Official Aramaic
arg;Aragonese
arm;Armenian
arn;Mapudungun
arp;Arapaho
art;Artificial
arw;Arawak
asm;Assamese
ast;Asturian
ath;Athapascan
aus;Australian
ava;Avaric
ave;Avestan
awa;Awadhi
aym;Aymara
aze;Azerbaijani
bad;Banda
bai;Bamileke
bak;Bashkir
bal;Baluchi
bam;Bambara
ban;Balinese
baq;Basque
bas;Basa
bat;Baltic
bej;Beja
bel;Belarusian
bem;Bemba
ben;Bengali
ber;Berber
bho;Bhojpuri
bih;Bihari
bik;Bikol
bin;Bini
bis;Bislama
bla;Siksika
bnt;Bantu
tib;Tibetan
bos;Bosnian
bra;Braj
bre;Breton
btk;Batak
bua;Buriat
bug;Buginese
bul;Bulgarian
bur;Burmese
byn;Blin
cad;Caddo
cai;Central American Indian
car;Galibi Carib
cat;Catalan
cau;Caucasian
ceb;Cebuano
cel;Celtic
cze;Czech
cha;Chamorro
chb;Chibcha
che;Chechen
chg;Chagatai
chi;Chinese
chk;Chuukese
chm;Mari
chn;Chinook jargon
cho;Choctaw
chp;Chipewyan
chr;Cherokee
chv;Chuvash
chy;Cheyenne
cmc;Chamic
cnr;Montenegrin
cop;Coptic
cor;Cornish
cos;Corsican
cpe;Creoles and pidgins, English based
cpf;Creoles and pidgins, French-based
cpp;Creoles and pidgins, Portuguese-based
cre;Cree
crh;Crimean Tatar
crp;Creoles and pidgins
csb;Kashubian
cus;Cushitic
wel;Welsh
cze;Czech
dak;Dakota
dan;Danish
dar;Dargwa
day;Land Dayak
del;Delaware
den;Slave (Athapascan)
ger;German
dgr;Dogrib
din;Dinka
div;Divehi
doi;Dogri
dra;Dravidian
dsb;Lower Sorbian
dua;Duala
dut ;Dutch
dyu;Dyula
dzo;Dzongkha
efi;Efik
eka;Ekajuk
gre ;Greek, Modern (1453-)
elx;Elamite
eng;English
epo;Esperanto
est;Estonian
baq ;Basque
ewe;Ewe
ewo;Ewondo
fan;Fang
fao;Faroese
per ;Persian
fat;Fanti
fij;Fijian
fil;Filipino
fin;Finnish
fiu;Finno-Ugrian
fon;Fon
fre ;French
frr;Northern Frisian
frs;Eastern Frisian
fry;Western Frisian
ful;Fulah
fur;Friulian
gaa;Ga
gay;Gayo
gba;Gbaya
gem;Germanic
geo ;Georgian
ger ;German
deu ;German
gez;Geez
gil;Gilbertese
gla;Gaelic
gle;Irish
glg;Galician
glv;Manx
gon;Gondi
gor;Gorontalo
got;Gothic
grb;Grebo
gre ;Modern Greek
grn;Guarani
gsw;Swiss German
guj;Gujarati
gwi;Gwich'in
hai;Haida
hat;Haitian
hau;Hausa
haw;Hawaiian
heb;Hebrew
her;Herero
hil;Hiligaynon
him;Himachali
hin;Hindi
hit;Hittite
hmn;Hmong
hmo;Hiri Motu
hrv;Croatian
hsb;Upper Sorbian
hun;Hungarian
hup;Hupa
arm ;Armenian
iba;Iban
ibo;Igbo
ice ;Icelandic
isl ;Icelandic
ido;Ido
iii;Sichuan Yi
ijo;Ijo
iku;Inuktitut
ile;Interlingue
ilo;Iloko
inc;Indic
ind;Indonesian
ine;Indo-European
inh;Ingush
ipk;Inupiaq
ira;Iranian
iro;Iroquoian
ice ;Icelandic
isl ;Icelandic
ita;Italian
jav;Javanese
jbo;Lojban
jpn;Japanese
jpr;Judeo-Persian
jrb;Judeo-Arabic
kaa;Kara-Kalpak
kab;Kabyle
kac;Kachin
kal;Kalaallisut
kam;Kamba
kan;Kannada
kar;Karen
kas;Kashmiri
geo ;Georgian
kau;Kanuri
kaw;Kawi
kaz;Kazakh
kbd;Kabardian
kha;Khasi
khi;Khoisan
khm;Central Khmer
kho;Khotanese
kik;Kikuyu
kin;Kinyarwanda
kir;Kirghiz
kmb;Kimbundu
kok;Konkani
kom;Komi
kon;Kongo
kor;Korean
kos;Kosraean
kpe;Kpelle
krc;Karachay-Balkar
krl;Karelian
kro;Kru
kru;Kurukh
kua;Kuanyama
kum;Kumyk
kur;Kurdish
kut;Kutenai
lad;Ladino
lah;Lahnda
lam;Lamba
lao;Lao
lat;Latin
lav;Latvian
lez;Lezghian
lim;Limburgan
lin;Lingala
lit;Lithuanian
lol;Mongo
loz;Lozi
ltz;Luxembourgish
lua;Luba-Lulua
lub;Luba-Katanga
lug;Ganda
lui;Luiseno
lun;Lunda
luo;Luo
lus;Lushai
mac ;Macedonian
mkd ;Macedonian
mad;Madurese
mag;Magahi
mah;Marshallese
mai;Maithili
mak;Makasar
mal;Malayalam
man;Mandingo
mao ;Maori
map;Austronesian
mar;Marathi
mas;Masai
may ;Malay
msa ;Malay
mdf;Moksha
mdr;Mandar
men;Mende
mic;Mi'kmaq
min;Minangkabau
mac ;Macedonian
mkd ;Macedonian
mkh;Mon-Khmer
mlg;Malagasy
mlt;Maltese
mnc;Manchu
mni;Manipuri
mno;Manobo
moh;Mohawk
mon;Mongolian
mos;Mossi
mao ;Maori
mri ;Maori
may ;Malay
mul;Multiple
mun;Munda
mus;Creek
mwl;Mirandese
mwr;Marwari
bur ;Burmese
mya ;Burmese
myn;Mayan
myv;Erzya
nah;Nahuatl
nai;North American Indian
nap;Neapolitan
nau;Nauru
nav;Navajo
nbl;Ndebele, South
nde;Ndebele, North
ndo;Ndonga
nep;Nepali
new;Nepal Bhasa
nia;Nias
nic;Niger-Kordofanian
niu;Niuean
dut ;Dutch
nno;Norwegian Nynorsk
nob;Bokmål, Norwegian
nog;Nogai
non;Norse, Old
nor;Norwegian
nqo;N'Ko
nso;Pedi
nub;Nubian
nwc;Classical Newari
nya;Chichewa
nym;Nyamwezi
nyn;Nyankole
nyo;Nyoro
nzi;Nzima
oci;Occitan
oji;Ojibwa
ori;Oriya
orm;Oromo
osa;Osage
oss;Ossetian
oto;Otomian
paa;Papuan
pag;Pangasinan
pal;Pahlavi
pam;Pampanga
pan;Panjabi
pap;Papiamento
pau;Palauan
per ;Persian
phi;Philippine
phn;Phoenician
pli;Pali
pol;Polish
pon;Pohnpeian
por;Portuguese
pra;Prakrit
pus;Pushto
que;Quechua
raj;Rajasthani
rap;Rapanui
rar;Rarotongan
roa;Romance
roh;Romansh
rom;Romany
rum ;Romanian
ron ;Romanian
run;Rundi
rup;Aromanian
rus;Russian
sad;Sandawe
sag;Sango
sah;Yakut
sai;South American Indian
sal;Salishan
sam;Samaritan Aramaic
san;Sanskrit
sas;Sasak
sat;Santali
scn;Sicilian
sco;Scots
sel;Selkup
sem;Semitic
sgn;Sign
shn;Shan
sid;Sidamo
sin;Sinhala
sio;Siouan
sit;Sino-Tibetan
sla;Slavic
slo ;Slovak
slk ;Slovak
slv;Slovenian
sma;Southern Sami
sme;Northern Sami
smi;Sami
smj;Lule Sami
smn;Inari Sami
smo;Samoan
sms;Skolt Sami
sna;Shona
snd;Sindhi
snk;Soninke
sog;Sogdian
som;Somali
son;Songhai
sot;Sotho, Southern
spa;Spanish
alb ;Albanian
srd;Sardinian
srn;Sranan Tongo
srp;Serbian
srr;Serer
ssa;Nilo-Saharan
ssw;Swati
suk;Sukuma
sun;Sundanese
sus;Susu
sux;Sumerian
swa;Swahili
swe;Swedish
syc;Classical Syriac
syr;Syriac
tah;Tahitian
tai;Tai
tam;Tamil
tat;Tatar
tel;Telugu
tem;Timne
ter;Tereno
tet;Tetum
tgk;Tajik
tgl;Tagalog
tha;Thai
tib ;Tibetan
tig;Tigre
tir;Tigrinya
tiv;Tiv
tkl;Tokelau
tlh;Klingon
tli;Tlingit
tmh;Tamashek
tog;Tonga (Nyasa)
ton;Tonga (Tonga Islands)
tpi;Tok Pisin
tsi;Tsimshian
tsn;Tswana
tso;Tsonga
tuk;Turkmen
tum;Tumbuka
tup;Tupi
tur;Turkish
tut;Altaic
tvl;Tuvalu
twi;Twi
tyv;Tuvinian
udm;Udmurt
uga;Ugaritic
uig;Uighur
ukr;Ukrainian
umb;Umbundu
und;Undetermined
urd;Urdu
uzb;Uzbek
vai;Vai
ven;Venda
vie;Vietnamese
vol;Volapük
vot;Votic
wak;Wakashan
wal;Wolaitta
war;Waray
was;Washo
wel ;Welsh
wen;Sorbian
wln;Walloon
wol;Wolof
xal;Kalmyk
xho;Xhosa
yao;Yao
yap;Yapese
yid;Yiddish
yor;Yoruba
